0	566245.876	7632624.454	606.457
5	566249.807	7632627.378	605.464
10	566253.737	7632630.302	604.471
15	566257.754	7632633.232	604.024
20	566261.796	7632636.164	603.742
25	566265.819	7632639.12	603.45
30	566269.832	7632642.089	603.154
35	566273.844	7632645.057	602.857
40	566277.856	7632648.025	602.561
45	566281.885	7632650.983	602.615
50	566285.916	7632653.939	602.727
55	566289.945	7632656.896	602.815
60	566293.957	7632659.873	602.65
65	566297.969	7632662.849	602.484
70	566301.985	7632665.822	602.415
75	566306.008	7632668.788	602.515
80	566310.031	7632671.755	602.615
85	566314.055	7632674.721	602.714
90	566318.078	7632677.687	602.823
95	566322.103	7632680.647	602.999
100	566326.129	7632683.607	603.176
105	566330.155	7632686.568	603.353
110	566334.18	7632689.528	603.53
115	566338.202	7632692.486	603.801
120	566342.221	7632695.441	604.169
125	566346.256	7632698.381	604.098
130	566350.28	7632701.327	603.734
135	566354.261	7632704.287	603.161
140	566358.211	7632707.214	602.255
145	566362.211	7632710.165	601.856
150	566366.235	7632713.129	601.71
155	566370.259	7632716.094	601.563
160	566374.284	7632719.058	601.441
165	566378.312	7632722.021	601.439
170	566382.34	7632724.983	601.436
175	566386.368	7632727.946	601.433
180	566390.396	7632730.909	601.43
185	566394.424	7632733.872	601.427
190	566398.452	7632736.835	601.424
195	566402.48	7632739.798	601.421
200	566406.508	7632742.761	601.418
205	566410.536	7632745.724	601.415
210	566414.553	7632748.682	601.138
215	566418.567	7632751.64	600.791
220	566422.564	7632754.563	600.243
